"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","43","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","28","1","0.000000","0","0"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","0","37","1","0.000000","0","0"
"/Game/UI/Wigdet/NewBlueEmmision.NewBlueEmmision","0","14","2","1","73.074829","0","44"
"/Game/Level_3/Assets/DoorSign_Yellow.DoorSign_Yellow","0","14","1","1","36.144779","0","97"
"/Game/Level_3/NewEmiision.NewEmiision","0","14","1","1","24.177212","0","118"
"/Game/Level_3/ButtonBase.ButtonBase","0","14","1","1","27.683411","0","118"
"/Game/Level_1/Materials/YellowEmmision.YellowEmmision","0","14","1","1","30.014845","0","105"
"/Game/Level_1/Materials/Yellow.Yellow","0","14","1","1","29.412968","0","70"
"/Game/Level_1/Materials/WhiteEmissionn.WhiteEmissionn","0","14","1","1","31.548195","0","87"
"/Game/Level_1/Materials/RedEmmision.RedEmmision","0","14","1","1","28.142149","0","72"
"/Game/Level_1/Materials/Red.Red","0","14","1","1","29.181509","0","84"
"/Game/Level_1/Materials/PurpleEmmision.PurpleEmmision","0","14","1","1","27.555380","0","62"
"/Game/Level_1/Materials/Purple.Purple","0","14","1","1","27.539499","0","44"
"/Game/Level_1/Materials/PinkEmmision.PinkEmmision","0","14","1","1","27.437813","0","60"
"/Game/Level_1/Materials/Pink.Pink","0","14","1","1","27.478426","0","65"
"/Game/Level_1/Materials/GreenEmmision.GreenEmmision","0","14","1","1","29.286369","0","58"
"/Game/Level_1/Materials/Green.Green","0","14","1","1","30.186136","0","54"
"/Game/Level_1/Materials/BlueEmmision.BlueEmmision","0","14","1","1","26.747591","0","64"
"/Game/Level_1/Materials/Blue.Blue","0","14","1","1","29.471415","0","60"
"/Game/Level_1/ColorCubePlaces/Material_001.Material_001","0","14","1","1","28.828613","0","55"
"/Game/Level_1/ColorCubePlaces/Material.Material","0","14","1","1","26.902861","0","68"
"/Game/Level_1/Assets/Material_030.Material_030","0","14","1","1","26.478199","0","64"
"/Game/Level_1/Assets/Material_029.Material_029","0","14","1","1","27.172108","0","76"
"/Game/Level_1/Assets/Material_027.Material_027","0","14","1","1","24.099432","0","69"
"/Game/Level_1/Assets/Material_022.Material_022","0","14","1","1","24.270042","0","83"
"/Game/Level_1/Assets/Material_018.Material_018","0","14","1","1","27.924881","0","52"
"/Game/Level_1/Assets/Material_017.Material_017","0","14","1","1","26.260303","0","58"
"/Game/Level_1/Assets/Material.Material","0","14","1","1","0.000000","0","68"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","0","23","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/BlackUnlitMaterial.BlackUnlitMaterial","0","0","8","1","0.000000","0","0"
"/Engine/MapTemplates/Materials/BasicAsset01.BasicAsset01","0","0","37","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","84","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","75","2","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","13","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","13","1","0.000000","0","0"
"/Game/Level_3/Assets/ControlPanel.ControlPanel","0","14","1","1","28.329927","0","67"
"/Game/Level_2/Asset/Material/seamless-hand-painted-texture-experiments-v0-shrm9g706x8a1_Mat.seamless-hand-painted-texture-experiments-v0-shrm9g706x8a1_Mat","0","14","1","1","22.643124","0","68"
"/Game/Level_2/Asset/Material/istockphoto-527660774-612x612_Mat.istockphoto-527660774-612x612_Mat","0","14","1","1","24.949697","0","77"
"/Game/Level_2/Asset/Material/hand-painted-wood-planks-texture-3d-model-low-poly_Mat.hand-painted-wood-planks-texture-3d-model-low-poly_Mat","0","14","1","1","23.562017","0","60"
"/Game/Level_2/Asset/Material/alex-downham-low-poly-crate-diffuse_Mat.alex-downham-low-poly-crate-diffuse_Mat","0","14","1","1","24.788097","0","63"
"/Game/Level_2/Asset/Material/7d31308cf513eb9425e8edefb515ab56_Mat.7d31308cf513eb9425e8edefb515ab56_Mat","0","14","1","1","23.523781","0","57"
"/Game/Level_1/Materials/M_CubeWall.M_CubeWall","0","14","1","1","24.494476","0","67"
"/Game/Level_1/Materials/M_Wall.M_Wall","0","14","2","1","24.571007","0","68"
"/Game/Level_1/Materials/M_Kabartma.M_Kabartma","0","14","1","1","30.596909","0","54"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","104","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","101","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","167","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1288","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","66","6","0.000000","0","9"
